คำที่เขียนถูก	มักเขียนผิดเป็น	หมายเหตุ
ก็	ก้อ	
กงเกวียนกำเกวียน	กงกำกงเกวียน	กง และ กำ เป็นส่วนประกอบของล้อเกวียน
กงสุล	กงศุล	"กงสุล" มาจากคำในภาษาฝรั่งเศสว่า "consul"
กฎ	กฏ	กฎ ทุกอย่าง ใช้ ฎ ชฎา ยกเว้น ปรากฏ ใช้ ฏ ปฏัก ส่วน กรกฎ/กรกฏ สะกดได้ทั้งสองแบบ
กฐิน	กฐิณ	
กบฏ	กบฎ, กบถ	- "กบฏ" ใช้ ฏ ปฏัก
- ในสมัยโบราณ เคยสะกดด้วย ฎ ชฎา (ดู พจนานุกรมกฎหมาย ของ ขุนสมาหารหิตะคดี) 
- ถ้าออกเสียง "ขะ-บด" เขียน "ขบถ"
กบาล, กระบาล	กะบาล, กบาน, กะบาน, กระบาน	ใช้เรียกศีรษะ แต่ไม่สุภาพ
กรรมกร	กรรมกรณ์	- "กรรมกร" = คนงาน, ลูกจ้างที่ใช้แรงงาน
- "กรรมกรณ์" = อาญา, เครื่องสำหรับลงอาญา ฯลฯ มักสลับกัน
กรรมกรณ์	กรรมกร	- "กรรมกร" = คนงาน, ลูกจ้างที่ใช้แรงงาน
- "กรรมกรณ์" = อาญา, เครื่องสำหรับลงอาญา ฯลฯ มักสลับกัน
กระเชอ	กระเฌอ, กะเชอ, กะเฌอ	
กระเพาะ	กะเพาะ, กะเพราะ, กระเพราะ	ระวังสับสนกับ กะเพรา
พระกระยาหาร	พระกายาหาร	
กริยา	กิริยา	"กริยา" (กฺริ-) คือ คำชนิดหนึ่ง บอกอาการ การกระทำ เช่น เดิน วิ่ง เขียน เหล่านี้ คือ คำกริยา
กรีฑา	กรีธา, กรีทา	กีฬาอย่างหนึ่ง มักสลับกัน
กรีธา	กรีฑา	เคลื่อน ยก เดินเป็นหมู่หรือเป็นกระบวน เช่น กรีธาทัพ มักสลับกัน
กลยุทธ์	กลยุทธ, กลยุทธิ, กลยุทธิ์	
กลางคัน	กลางครัน	
กลิ่นอาย	กลิ่นไอ	
กสิณ	กสิน	
กเฬวราก	กเลวราก	
กอปร	กอป, กอปร์	อ่านว่า "กอบ"
