ก๊กกะ, กิ๊กกะ, กิกะ	จิกะ	Yes check.svg	Yes check.svg		ระวัง ทะกิกะวะ และอีกมากมาย คำว่า กิกะ ไม่ควรนำมาใช้เป็นอย่างยิ่ง (แยก false positive ยากจัด)
กฏหมาย	กฎหมาย	Yes check.svg	Yes check.svg	Yes check.svg
กรกฏาคม	กรกฎาคม	Yes check.svg	Yes check.svg	
กระทั้ง	กระทั่ง	Yes check.svg	Yes check.svg	
กราฟฟิค, กราฟฟิก	กราฟิก	Yes check.svg	Yes check.svg	
กษัตรย์	กษัตริย์	Yes check.svg	Yes check.svg	
กิติมศักดิ์	กิตติมศักดิ์	Yes check.svg	Yes check.svg	
ขาดดุลย์	ขาดดุล	Yes check.svg	Yes check.svg	
คริสตศตวรรษ	คริสต์ศตวรรษ	Yes check.svg	Yes check.svg	
คริสตศักราช	คริสต์ศักราช	Yes check.svg	Yes check.svg	
คริสตศาสนา	คริสต์ศาสนา	Yes check.svg	Yes check.svg	
คริสต์กาล	คริสตกาล	Yes check.svg	Yes check.svg	
คริสต์เตียน	คริสเตียน	Yes check.svg	Yes check.svg	
คริสมาส คริสมาสต์	คริสต์มาส	Yes check.svg	Yes check.svg	
คลีนิก	คลินิก	Yes check.svg	Yes check.svg	
คำนวน	คำนวณ	Yes check.svg	Yes check.svg	
เคเบิ้ล	เคเบิล	Yes check.svg	Yes check.svg	
จักรสาน	จักสาน	Yes check.svg	Yes check.svg	
โครงการณ์	โครงการ	Yes check.svg	Yes check.svg	
งบดุลย์	งบดุล	Yes check.svg	Yes check.svg	
ซอฟท์แวร์	ซอฟต์แวร์	Yes check.svg	Yes check.svg	Yes check.svg
ซีรี่ส์ ซีรีย์ ซีรี่ย์	ซีรีส์	Yes check.svg	Yes check.svg	
เซ็นติ	เซนติ	Yes check.svg	Yes check.svg	
เซอร์เวอร์	เซิร์ฟเวอร์	Yes check.svg	Yes check.svg	
ฑูต	ทูต	Yes check.svg	Yes check.svg	
ดอทคอม, ด็อทคอม, ด็อตคอม	ดอตคอม	Yes check.svg	Yes check.svg	
ดอทเน็ท, ดอตเน็ท, ด็อตเน็ต, ด็อทเน็ต, ดอทเน็ต, ดอทเนท	ดอตเน็ต	Yes check.svg	Yes check.svg	
ถ่วงดุลย์	ถ่วงดุล	Yes check.svg	Yes check.svg	
ทะเลสาป	ทะเลสาบ	Yes check.svg	Yes check.svg		ระวังวรรณกรรมที่ใช้ชื่อ ทะเลสาป
เทมเพลท	เทมเพลต	Yes check.svg	Yes check.svg	
ธุระกิจ	ธุรกิจ	Yes check.svg	Yes check.svg	
นิวยอร์ค	นิวยอร์ก	Yes check.svg	Yes check.svg	Yes check.svg
โน๊ต	โน้ต	Yes check.svg		
บรรได	บันได	Yes check.svg	Yes check.svg	
บรรเทิง	บันเทิง	Yes check.svg	Yes check.svg		ระวังคุณกรรณิการ์ บรรเทิงจิตร
บราวเซอร์ เบราเซอร์	เบราว์เซอร์	Yes check.svg	Yes check.svg	Yes check.svg
บล็อค บล๊อค บล๊อก	บล็อก	Yes check.svg	Yes check.svg	
เบรค	เบรก	Yes check.svg	Yes check.svg		ระวังกล้ามเนื้อ? กลุ่มเบรคิไอ เบรคิโอ ทั้งหลาย
ไบท์	ไบต์	Yes check.svg	Yes check.svg		ระวัง ขบวนการจาโคไบท์
ปฎิ	ปฏิ	Yes check.svg	Yes check.svg	
ปฏิกริยา ปฎิกริยา	ปฏิกิริยา	Yes check.svg	Yes check.svg	Yes check.svg
ปรากฎ	ปรากฏ	Yes check.svg	Yes check.svg	
ปราถนา	ปรารถนา	Yes check.svg	Yes check.svg	
ปีรามิด ปิระมิด	พีระมิด	Yes check.svg	Yes check.svg	Yes check.svg
โปรเจค โปรเจคท์ โปรเจคต์ โปรเจ็ค โปรเจ็คท์ โปรเจ็คต์	โปรเจกต์	Yes check.svg	Yes check.svg	
โปรโตคอล	โพรโทคอล	Yes check.svg	Yes check.svg	
ผลลัพท์	ผลลัพธ์	Yes check.svg	Yes check.svg	
ผูกพันธ์	ผูกพัน	Yes check.svg	Yes check.svg	
ฝรั่งเศษ	ฝรั่งเศส	Yes check.svg	Yes check.svg	
ฟังก์ชั่น	ฟังก์ชัน	Yes check.svg	Yes check.svg	
ภาพยนต์	ภาพยนตร์	Yes check.svg	Yes check.svg	Yes check.svg
มิวสิค	มิวสิก	Yes check.svg		
ไมโครซอฟต์	ไมโครซอฟท์	Yes check.svg	Yes check.svg	
เยอรมันนี	เยอรมนี	Yes check.svg	Yes check.svg	
รถยนตร์	รถยนต์	Yes check.svg	Yes check.svg	
ร็อค	ร็อก	Yes check.svg		
ล็อค	ล็อก	Yes check.svg	Yes check.svg		ระวังชื่ออื่น ๆ
ลอส แองเจลิส, ลอส แองเจลลิส,ลอส แองเจลีส, ลอสแองเจลิส, ลอสแองเจลีส,
ลอสแองเจลลิส, ลอสแองเจอลิส, ลอสแองเจอลีส, ลอสแอนเจลลิส

ลอสแอนเจลิส	Yes check.svg	Yes check.svg	
ลายเซ็นต์	ลายเซ็น	Yes check.svg	Yes check.svg	
ลิ้งค์ ลิ๊งค์ ลิ้งก์ ลิ๊งก์	ลิงก์	Yes check.svg	Yes check.svg	
เวคเตอร์	เวกเตอร์	Yes check.svg	Yes check.svg	
เวทย์มนตร์ เวทย์มนต์ เวทมนต์	เวทมนตร์	Yes check.svg	Yes check.svg	
เวบไซท์, เวบไซต์, เวบไซท์, เว็บไซท์, เว็บไซต	เว็บไซต์	Yes check.svg	Yes check.svg	Yes check.svg
เวอร์ชั่น	เวอร์ชัน	Yes check.svg	Yes check.svg	
เวิล์ด	เวิลด์	Yes check.svg	Yes check.svg	
ศรีษะ	ศีรษะ	Yes check.svg	Yes check.svg	
สคริปท์, สครปต์	สคริปต์	Yes check.svg	Yes check.svg	Yes check.svg
สเตชั่น	สเตชัน	Yes check.svg	Yes check.svg	
สมดุลย์	สมดุล	Yes check.svg	Yes check.svg	
สังเกตุ	สังเกต	Yes check.svg	Yes check.svg	
สวดมน, สวดมนตร์	สวดมนต์	Yes check.svg	Yes check.svg		
สวรรณคต	สวรรคต	Yes check.svg	Yes check.svg	
อโดบี	อะโดบี	Yes check.svg	Yes check.svg	
อะนิเม อานิเมะ อะนิเม	อนิเมะ	Yes check.svg	Yes check.svg		ตามการสรุปใหม่ในการอภิปรายหน้านี้
อนุญาติ	อนุญาต	Yes check.svg	Yes check.svg	
อลูมิเนียม	อะลูมิเนียม	Yes check.svg	Yes check.svg	
ออบเจ็ค, ออปเจ็ค, ออปเจค	อ็อบเจกต์	Yes check.svg	Yes check.svg	
อัพเด็ต, อัพเดต, อัพเดท, อัปเด็ต	อัปเดต	Yes check.svg	Yes check.svg	
อัพโหลด	อัปโหลด	Yes check.svg	Yes check.svg	
อินเตอเน็ต, อินเตอร์เน็ต, อินเตอร์เนต, อินเทอร์เนต	อินเทอร์เน็ต	Yes check.svg	Yes check.svg	Yes check.svg
อิเล็กโทรนิกส์	อิเล็กทรอนิกส์	Yes check.svg	Yes check.svg	Yes check.svg
อิสระภาพ	อิสรภาพ	Yes check.svg	Yes check.svg	
เอ็กซ์	เอกซ์	Yes check.svg		
เอ็นจิ้น, เอ็นจิน, เอนจิ้น	เอนจิน	Yes check.svg	Yes check.svg	
เอล์ฟ	เอลฟ์	Yes check.svg	Yes check.svg	
เอาท์พุต, เอาท์พุท	เอาต์พุต	Yes check.svg	Yes check.svg	
แอปพลิเคชั่น แอพพลิเคชั่น แอพพลิเคชัน แอพพลิคเคชัน	แอปพลิเคชัน	Yes check.svg	Yes check.svg	Yes check.svg
ทรง(เสวย|ประชวร|มีพระ|เป็นพระ|เสด็จ|บรรทม|ผนวช|ทอดพระเนตร|สวรรคต)	$1	Yes check.svg	
